"43 ";97517;135;97687;121;97838;122;97783;146;97750;141;97901;118;97866;121;98121;111;98110;99;98233;96;98323;88;98287;93
"44 ";97381;133;97566;128;97716;146;97637;135;97608;120;97783;129;97745;103;98010;102;98012;126;98136;114;98235;114;98194;100
"45 ";97248;162;97438;171;97571;182;97502;139;97489;137;97655;128;97642;151;97907;129;97886;112;98023;135;98121;115;98093;113
"46 ";97086;170;97267;186;97388;149;97363;148;97352;158;97527;145;97491;161;97778;165;97774;133;97888;127;98007;136;97981;122
"47 ";96916;198;97081;183;97239;189;97215;169;97193;171;97382;180;97330;180;97613;170;97641;156;97762;134;97871;135;97859;156
"48 ";96718;189;96898;241;97050;222;97046;213;97022;198;97203;187;97150;192;97443;162;97484;178;97628;172;97735;136;97703;155
"49 ";96529;272;96657;219;96828;222;96833;209;96824;202;97015;221;96958;221;97281;171;97307;199;97456;196;97599;188;97548;154
"50 ";96257;259;96438;246;96606;249;96624;242;96622;245;96795;230;96737;215;97110;229;97108;214;97260;213;97411;189;97394;189
"51 ";95998;301;96192;290;96357;253;96382;239;96377;270;96565;280;96522;257;96881;233;96894;237;97047;264;97222;218;97204;201
"52 ";95697;290;95902;290;96104;321;96142;327;96107;307;96285;297;96265;253;96648;272;96657;269;96783;247;97003;212;97003;252
"53 ";95407;334;95612;367;95783;343;95816;331;95800;312;95988;313;96012;290;96376;302;96388;259;96536;277;96791;288;96751;274
"54 ";95073;378;95245;332;95439;324;95485;352;95488;381;95675;326;95722;330;96075;325;96129;347;96259;325;96503;292;96477;296
"55 ";94695;416;94913;408;95115;378;95133;333;95107;359;95350;397;95392;383;95749;353;95781;395;95935;342;96211;346;96182;332
"56 ";94279;413;94504;442;94737;416;94800;383;94748;403;94953;408;95009;395;95396;400;95386;353;95593;397;95865;369;95850;299
"57 ";93866;492;94062;468;94322;450;94417;484;94345;432;94545;413;94614;484;94996;390;95033;427;95195;387;95495;368;95551;402
"58 ";93374;530;93594;462;93872;458;93933;463;93913;505;94131;510;94130;471;94606;419;94606;447;94809;407;95127;409;95149;421
"59 ";92844;574;93132;575;93414;590;93470;549;93408;544;93621;537;93659;526;94188;522;94159;578;94402;433;94718;463;94727;450
"60 ";92270;645;92557;653;92824;637;92921;597;92864;573;93084;554;93133;577;93665;607;93581;554;93970;550;94255;502;94277;512
"61 ";91625;692;91904;709;92187;650;92325;624;92290;605;92530;634;92555;598;93058;647;93027;602;93419;551;93753;601;93766;585
"62 ";90933;759;91195;758;91537;742;91701;765;91685;742;91896;721;91958;701;92411;666;92425;674;92868;655;93151;620;93180;599
"63 ";90174;730;90437;890;90795;776;90936;843;90943;794;91176;779;91256;706;91745;718;91751;726;92213;640;92531;622;92582;658
"64 ";89444;930;89547;846;90019;923;90093;873;90149;838;90397;861;90550;790;91027;808;91025;752;91573;734;91910;719;91924;717
"65 ";88514;1001;88700;875;89096;961;89220;938;89311;908;89536;1007;89760;857;90219;845;90273;806;90839;808;91191;722;91207;822
"66 ";87513;973;87825;945;88135;1050;88282;1116;88403;994;88530;1024;88903;965;89374;986;89467;992;90031;941;90469;834;90385;892
"67 ";86541;1072;86881;1112;87085;1160;87166;1077;87409;1116;87506;1100;87938;1097;88388;1084;88476;1049;89091;943;89635;891;89492;961
"68 ";85468;1314;85768;1295;85925;1199;86089;1230;86292;1132;86406;1212;86841;1067;87303;1180;87426;1148;88147;1077;88744;1077;88532;1031
"69 ";84154;1298;84473;1199;84726;1293;84859;1196;85160;1299;85194;1141;85774;1262;86124;1166;86279;1246;87070;1199;87667;1174;87501;1212
"70 ";82856;1560;83275;1302;83432;1359;83663;1433;83861;1288;84053;1326;84512;1218;84958;1279;85033;1182;85871;1253;86493;1258;86289;1170
"71 ";81296;1516;81973;1531;82073;1547;82229;1507;82573;1522;82727;1528;83294;1441;83679;1484;83851;1356;84618;1344;85235;1424;85119;1340
"72 ";79780;1668;80441;1747;80527;1668;80722;1626;81051;1513;81200;1548;81853;1520;82194;1676;82495;1575;83274;1478;83811;1452;83778;1440
"73 ";78112;1892;78694;1817;78859;1778;79096;1810;79538;1786;79651;1795;80333;1781;80518;1659;80921;1627;81796;1591;82360;1547;82339;1563
"74 ";76220;2084;76877;1967;77081;2043;77286;1922;77752;1905;77856;1810;78553;1796;78859;1765;79294;1905;80205;1749;80812;1798;80776;1724
"75 ";74137;2268;74911;2141;75039;2288;75364;2097;75847;2108;76046;2176;76757;2104;77094;2044;77389;1969;78456;1973;79014;1903;79052;1803
"76 ";71869;2414;72770;2466;72750;2285;73267;2306;73739;2164;73870;2307;74653;2201;75050;2046;75420;2254;76484;2147;77112;2069;77249;1988
"77 ";69454;2595;70303;2385;70465;2754;70961;2571;71575;2468;71563;2446;72452;2438;73004;2381;73166;2242;74336;2331;75043;2344;75261;2222
"78 ";66859;2874;67918;2780;67712;2703;68390;2819;69106;2736;69117;2567;70014;2557;70623;2716;70924;2691;72006;2443;72698;2480;73039;2462
"79 ";63985;3043;65138;3016;65009;2978;65571;3091;66371;2858;66550;2822;67458;2960;67907;2891;68233;2801;69563;2736;70219;2721;70578;2671
"80 ";60942;3201;62122;3096;62031;3392;62480;3204;63513;3185;63728;3166;64497;3061;65016;2997;65432;3033;66827;2872;67497;3028;67906;2823
